1,"平成22年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","",""
101,"","13114","d","","","中野区　人口集中地区",314750,310627,4123,1.3273153976,15.59,20189.2
102,"","13115","d","","","杉並区　人口集中地区",549569,528587,20982,3.9694506297,34.02,16154.3
103,"","13116","d","","","豊島区　人口集中地区",284678,250585,34093,13.6053634495,13.01,21881.5
104,"","13117","d","","","北区　人口集中地区",335544,330412,5132,1.5532123531,20.59,16296.5
105,"","13118","d","","","荒川区　人口集中地区",203296,191207,12089,6.3224672737,10.20,19931.0
106,"","13119","d","","","板橋区　人口集中地区",535824,523083,12741,2.4357511141,32.17,16656.0
107,"","13120","d","","","練馬区　人口集中地区",716124,692339,23785,3.4354557522,48.16,14869.7
108,"","13121","d","","","足立区　人口集中地区",683426,624807,58619,9.3819371422,53.20,12846.4
109,"","13122","d","","","葛飾区　人口集中地区",442586,424878,17708,4.1677846346,34.79,12721.6
110,"","13123","d","","","江戸川区　人口集中地区",678967,653944,25023,3.8264744382,49.76,13644.8
111,"","13201","d","","","八王子市　人口集中地区",512295,491271,21024,4.2795117155,61.64,8311.1
112,"","","d","","","      Ⅰ",374424,369633,4791,1.2961505060,47.53,7877.6
113,"","","d","","","      Ⅱ",105045,96868,8177,8.4413841516,10.32,10178.8
114,"","","d","","","      Ⅲ",18543,10769,7774,72.1886897576,1.53,12119.6
115,"","","d","","","      Ⅳ",8597,7940,657,8.2745591940,1.64,5242.1
116,"","","d","","","      Ⅴ",5686,6061,-375,-6.1870978386,0.63,9025.4
117,"","13202","d","","","立川市　人口集中地区",177344,170197,7147,4.1992514557,22.29,7956.2
118,"","13203","d","","","武蔵野市　人口集中地区",138734,137525,1209,0.8791128886,10.73,12929.5
119,"","13204","d","","","三鷹市　人口集中地区",186083,177016,9067,5.1221358521,16.50,11277.8
120,"","13205","d","","","青梅市　人口集中地区",107511,109974,-2463,-2.2396202739,17.26,6228.9
121,"","13206","d","","","府中市　人口集中地区",255506,245623,9883,4.0236459941,29.34,8708.5
122,"","13207","d","","","昭島市　人口集中地区",112195,109755,2440,2.2231333424,14.65,7658.4
