1,"平成27年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","","","","","","","","","","","","","",""
2,"","","","","","","第4-2表　出生の月(4区分)，年齢(各歳)，男女別人口(総数及び日本人) － 全国※，全国市部・郡部，都道府県※，都道府県市部・郡部，21大都市※，21大都市の区※，県庁所在市※，人口20万以上の市※","","","","","","","","","","","","","","","","",""
3,"","","","","","","Table 4-2. Population (Total and Japanese Population), by Month of Birth (4 Groups), Age (Single Years) and Sex - Japan*, All Shi, All Gun, Prefecture*, All Shi of Prefectures, All Gun of Prefectures, 21 Major Cities*, Ku of 21 Major Cities*, Prefectural Capital Cities* and Shi with Population of 200,000 or More* ","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","","","","","","","","",""
5,"","","","","","","※大項目","01（koku2A.0000  総数（国籍） 1)）","","","","","","","","","","","","","","","",""
6,"","","","","","","","02（koku2A.0001  日本人）","","","","","","","","","","","","","","","",""
7,"","","","","","","1) 日本人・外国人の別「不詳」を含む。","","","","","","","","","","","","","","","","",""
8,"","","","","","","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002"
9,"","","","","","","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
10,"","","","","","","tsu.0000","tsu.0001","tsu.0002","tsu.0003","tsu.0004","tsu.0005","tsu.0000","tsu.0001","tsu.0002","tsu.0003","tsu.0004","tsu.0005","tsu.0000","tsu.0001","tsu.0002","tsu.0003","tsu.0004","tsu.0005"
11,"","","","","","","0","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1"
12,"","","","","","","総数（男女別）","","","","","","男","","","","","","女","","","","",""
13,"※大項目","地域コード","地域識別コード","","","","総数（出生の月） ","1月～3月","4月～6月","7月～9月","10月～12月","出生の月「不詳」","総数（出生の月） ","1月～3月","4月～6月","7月～9月","10月～12月","出生の月「不詳」","総数（出生の月） ","1月～3月","4月～6月","7月～9月","10月～12月","出生の月「不詳」"
14,"","","","","","00 全国",,,,,,,,,,,,,,,,,,
89,"01","00000","a","nenKBX.0074","1","　73歳",1600118,500607,339880,371062,388569,-,740270,230452,157790,171843,180185,-,859848,270155,182090,199219,208384,-
90,"01","00000","a","nenKBX.0075","1","　74歳",1538494,473830,333076,380991,350597,-,707265,214531,153333,176139,163262,-,831229,259299,179743,204852,187335,-
91,"01","00000","a","nenKBX.0076","1","　75歳",1380364,439434,302794,334288,303848,-,628530,197782,138141,152304,140303,-,751834,241652,164653,181984,163545,-
92,"01","00000","a","nenKBX.0077","1","　76歳",1184257,388262,247656,284852,263487,-,533884,170598,112263,129728,121295,-,650373,217664,135393,155124,142192,-
93,"01","00000","a","nenKBX.0078","1","　77歳",1242050,411544,253705,258630,318171,-,551102,180349,113176,116115,141462,-,690948,231195,140529,142515,176709,-
94,"01","00000","a","nenKBX.0079","1","　78歳",1249049,414441,272093,294406,268109,-,547285,178460,119893,130298,118634,-,701764,235981,152200,164108,149475,-
95,"01","00000","a","nenKBX.0080","1","　79歳",1221136,396268,253371,275836,295661,-,526616,167111,110104,120291,129110,-,694520,229157,143267,155545,166551,-
96,"01","00000","a","nenKBX.0081","1","　80歳",1133614,379429,239367,271982,242836,-,477824,156881,101906,116226,102811,-,655790,222548,137461,155756,140025,-
97,"01","00000","a","nenKBX.0082","1","　81歳",1038756,336635,219644,240316,242161,-,427524,134321,91234,100374,101595,-,611232,202314,128410,139942,140566,-
98,"01","00000","a","nenKBX.0083","1","　82歳",1001491,334397,205550,226381,235163,-,400898,130239,82838,92458,95363,-,600593,204158,122712,133923,139800,-
99,"01","00000","a","nenKBX.0084","1","　83歳",932746,310943,204059,221538,196206,-,364913,119422,80833,87473,77185,-,567833,191521,123226,134065,119021,-
100,"01","00000","a","nenKBX.0085","1","　84歳",854813,287685,177655,198676,190797,-,323167,106598,67882,76183,72504,-,531646,181087,109773,122493,118293,-
101,"01","00000","a","nenKBX.0086","1","　85歳",761148,251414,156399,183836,169499,-,277905,91348,57949,67676,60932,-,483243,160066,98450,116160,108567,-
102,"01","00000","a","nenKBX.0087","1","　86歳",695443,235787,142562,158887,158207,-,243196,80622,50317,56787,55470,-,452247,155165,92245,102100,102737,-
103,"01","00000","a","nenKBX.0088","1","　87歳",624443,212548,128829,151149,131917,-,210328,70376,43580,51661,44711,-,414115,142172,85249,99488,87206,-
