13,"","","","","","","ëçêîÅiíjèóï Åj","","","","","","","","","","íj","","","","","","","","","","èó","","","","","","","","",""
14,"Å¶ëÂçÄñ⁄","ínàÊÉRÅ[Éh","ínàÊéØï ÉRÅ[Éh","","","","ëçêîÅiîzãÙä÷åWÅj","ñ¢ç•","óLîzãÙ","éÄï ","ó£ï ","îzãÙä÷åWÅuïsè⁄Åv","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjñ¢ç• 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjóLîzãÙ 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjéÄï  2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjó£ï  2)","ëçêîÅiîzãÙä÷åWÅj","ñ¢ç•","óLîzãÙ","éÄï ","ó£ï ","îzãÙä÷åWÅuïsè⁄Åv","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjñ¢ç• 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjóLîzãÙ 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjéÄï  2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjó£ï  2)","ëçêîÅiîzãÙä÷åWÅj","ñ¢ç•","óLîzãÙ","éÄï ","ó£ï ","îzãÙä÷åWÅuïsè⁄Åv","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjñ¢ç• 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjóLîzãÙ 2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjéÄï  2)","ÅiîzãÙä÷åWï äÑçáÅiÅìÅjÅjó£ï  2)"
15,"","","","","","00 ëSçë",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"01","00000","a","nen5F.0014","1","Å@80Å`84çŒ",4961420,152750,2621085,1933577,150120,103888,3.1446010031,53.9591916224,39.8057490923,3.0904582821,1994326,39750,1566621,310895,45208,31852,2.0255045417,79.8288792616,15.8419933207,2.3036228760,2967094,113000,1054464,1622682,104912,72036,3.9032033210,36.4228972269,56.0500687724,3.6238306797
31,"01","00000","a","nen5F.0015","1","Å@85Å`89çŒ",3117257,92771,1137140,1735554,75901,75891,3.0503070002,37.3891205465,57.0649504203,2.4956220330,1056641,14063,741319,270630,14434,16195,1.3516318963,71.2501177380,26.0109606842,1.3872896815,2060616,78708,395821,1464924,61467,59696,3.9335905483,19.7819503029,73.2125222398,3.0719369090
32,"01","00000","a","nen5F.0016","1","Å@90Å`94çŒ",1349120,34134,261046,977906,28992,47042,2.6215019377,20.0484149183,75.1034884239,2.2265947201,333335,2965,186188,133625,3263,7294,0.9093948307,57.1057014302,40.9841093605,1.0007943786,1015785,31169,74858,844281,25729,39748,3.1934240198,7.6695862964,86.5009215839,2.6360680999
33,"01","00000","a","nen5F.0017","1","Å@95Å`99çŒ",359347,7452,33294,297532,6209,14860,2.1632166090,9.6648059288,86.3695872413,1.8023902208,63265,519,25126,35265,529,1826,0.8447403115,40.8958479142,57.3983951562,0.8610166181,296082,6933,8168,262267,5680,13034,2.4494078743,2.8857296289,92.6581357226,2.0067267743
34,"01","00000","a","nen5F.0018","1","Å@100çŒà»è„",61763,1302,2922,53746,885,2908,2.2122164642,4.9647438620,91.3193441509,1.5036955229,8383,126,2000,5872,87,298,1.5584415584,24.7371675943,72.6283240569,1.0760667904,53380,1176,922,47874,798,2610,2.3163285405,1.8160330904,94.2958440024,1.5717943668
35,"01","00000","a","nenH.0001","1","Å@ïΩãœîNóÓ",51.9957657602,33.6442736018,56.2096233412,79.1056997856,56.3657552846,47.7938675112,-,-,-,-,50.5072806453,34.2869076723,57.4245884865,77.3360181611,56.6984159575,44.8667627008,-,-,-,-,53.3797065343,32.8322034728,55.0005814457,79.4755580962,56.1645769338,51.7269574007,-,-,-,-
36,"01","00000","a","nen653.0001","1","Å@ÅiçƒåfÅj65çŒà»è„",33465441,1554658,20959797,8638050,1668941,643995,4.7367139157,63.8600657631,26.3183102902,5.0849100311,14485469,756695,11396123,1441656,630143,260852,5.3196159868,80.1154997706,10.1349372008,4.4299470418,18979972,797963,9563674,7196394,1038798,383143,4.2908551775,51.4263695171,38.6968875178,5.5858877876
37,"01","00000","a","nen653.0002","2","Å@Å@ÅiçƒåfÅj75çŒà»è„",16125763,508685,8152282,6579063,528167,357566,3.2260188023,51.7007873506,41.7236225549,3.3495712921,6243367,144969,4801885,1029577,163497,103439,2.3610863189,78.2075131826,16.7685516833,2.6628488152,9882396,363716,3350397,5549486,364670,254127,3.7775845274,34.7975009838,57.6374216383,3.7874928505
38,"01","00000","a","nen653.0003","3","Å@Å@Å@ÅiçƒåfÅj85çŒà»è„",4887487,135659,1434402,3064738,111987,140701,2.8579127014,30.2183835547,64.5644863704,2.3592173736,1461624,17673,954633,445392,18313,25613,1.2307008790,66.4781119365,31.0159184017,1.2752687828,3425863,117986,479769,2619346,93674,115088,3.5636973216,14.4911387817,79.1157961504,2.8293677462
39,"","","","","","00 ëSçë ésïî",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"01","00001","b","nen5F.0000","0","ëçêîÅi15çŒà»è„îNóÓÅj",100195116,26994482,56913496,8510783,5111195,2665160,27.6781443437,58.3548873948,8.7263271194,5.2406411421,48290028,15003591,28377849,1473486,1905070,1530032,32.0863821289,60.6883050204,3.1511679342,4.0741449165,51905088,11990891,28535647,7037297,3206125,1135128,23.6180824251,56.2057701050,13.8611434793,6.3150039905
41,"01","00001","b","nen5F.0001","1","Å@15Å`19çŒ",5512237,5430879,22369,417,1667,56905,99.5517596363,0.4100392057,0.0076438977,0.0305572603,2829307,2787544,8766,186,603,32208,99.6583960739,0.3133961293,0.0066497468,0.0215580500,2682930,2643335,13603,231,1064,24697,99.4395525148,0.5117309130,0.0086899832,0.0400265891
42,"01","00001","b","nen5F.0002","1","Å@20Å`24çŒ",5557062,4955595,329091,1483,21885,249008,93.3599206037,6.1998427296,0.0279386758,0.4122979909,2834296,2559431,124969,552,5748,143596,95.1213810533,4.6444791318,0.0205151076,0.2136247073,2722766,2396164,204122,931,16137,105412,91.5490988227,7.7987922153,0.0355702744,0.6165386875
43,"01","00001","b","nen5F.0003","1","Å@25Å`29çŒ",5947621,3777352,1751840,2232,86871,329326,67.2330662594,31.1809899623,0.0397273550,1.5462164233,3016085,2052562,740419,745,25101,197258,72.8161749550,26.2669188283,0.0264294332,0.8904767834,2931536,1724790,1011421,1487,61770,132068,61.6113490135,36.1290430896,0.0531172351,2.2064906618
44,"01","00001","b","nen5F.0004","1","Å@30Å`34çŒ",6748938,2643165,3615441,5619,197038,287675,40.9078689414,55.9556390136,0.0869644217,3.0495276233,3407192,1517074,1643463,1547,63892,181216,47.0268222702,50.9446753479,0.0479544795,1.9805479024,3341746,1126091,1971978,4072,133146,106459,34.8065256653,60.9521813675,0.1258620951,4.1154308721
45,"01","00001","b","nen5F.0005","1","Å@35Å`39çŒ",7682014,2192978,4893256,14090,334048,247642,29.4978244296,65.8193590528,0.1895250870,4.4932914307,3879376,1300298,2303070,3758,113434,158816,34.9489861741,61.9011654160,0.1010063001,3.0488421098,3802638,892680,2590186,10332,220614,88826,24.0367579188,69.7446720513,0.2782047126,5.9403653174
46,"01","00001","b","nen5F.0006","1","Å@40Å`44çŒ",9002172,2164642,6008502,34684,548550,245794,24.7207464091,68.6185772245,0.3960998486,6.2645765178,4540962,1311714,2872175,8757,188043,160273,29.9430979921,65.5644580111,0.1999000614,4.2925439354,4461210,852928,3136327,25927,360507,85521,19.4924273640,71.6761863103,0.5925238288,8.2388624969
47,"01","00001","b","nen5F.0007","1","Å@45Å`49çŒ",8008263,1647370,5485511,63552,608091,203739,21.1078856315,70.2862980497,0.8142969385,7.7915193803,4026225,1006610,2650696,15136,220116,133667,25.8598587356,68.0965062049,0.3888445593,5.6547905002,3982038,640760,2834815,48416,387975,70072,16.3794879608,72.4652259248,1.2376385684,9.9176475460
48,"01","00001","b","nen5F.0008","1","Å@50Å`54çŒ",7266826,1173507,5211157,114641,611292,156229,16.5036353488,73.2871937476,1.6122556235,8.5969152801,3636156,736348,2536539,26043,235453,101773,20.8338485105,71.7675192530,0.7368471385,6.6617850980,3630670,437159,2674618,88598,375839,54456,12.2240727205,74.7890925990,2.4774244494,10.5094102310
49,"01","00001","b","nen5F.0009","1","Å@55Å`59çŒ",6791248,835848,5067833,200854,560245,126468,12.5412691792,76.0390140410,3.0136628666,8.4060539133,3368519,546107,2468899,44585,227841,81087,16.6119633805,75.1011427765,1.3562257714,6.9306680716,3422729,289741,2598934,156269,332404,45381,8.5789501112,76.9519161188,4.6269735899,9.8421601801
50,"01","00001","b","nen5F.0010","1","Å@60Å`64çŒ",7593671,740323,5708677,405711,601571,137389,9.9288492576,76.5619782084,5.4411971006,8.0679754333,3722143,495462,2800609,90491,249788,85793,13.6252560947,77.0170363139,2.4885118319,6.8691957595,3871528,244861,2908068,315220,351783,51596,6.4100879283,76.1287897271,8.2519793546,9.2091429900
51,"01","00001","b","nen5F.0011","1","Å@65Å`69çŒ",8719913,629237,6513287,778015,644373,155001,7.3466837721,76.0461636967,9.0837477373,7.5234047939,4203013,387784,3295121,165634,264213,90261,9.4288204103,80.1196133392,4.0273276872,6.4242385634,4516900,241453,3218166,612381,380160,64740,5.4232776899,72.2832512758,13.7546943506,8.5387766837
52,"01","00001","b","nen5F.0012","1","Å@70Å`74çŒ",6983090,334701,5036842,1077824,408258,125465,4.8807130749,73.4487814659,15.7171615537,5.9533439055,3247479,170803,2645695,205523,161424,64034,5.3653510584,83.1079223923,6.4559934285,5.0707331209,3735611,163898,2391147,872301,246834,61431,4.4608048599,65.0797456848,23.7413790288,6.7180704266
53,"01","00001","b","nen5F.0013","1","Å@75Å`79çŒ",5654811,203429,3678794,1416082,246380,110126,3.6689009385,66.3481153573,25.5394490399,4.4435346643,2511652,79840,2049938,245540,91497,44837,3.2365621257,83.1005973289,9.9537257557,3.7091147897,3143159,123589,1628856,1170542,154883,65289,4.0154067586,52.9215333981,38.0309109871,5.0321488562
54,"01","00001","b","nen5F.0014","1","Å@80Å`84çŒ",4425840,141186,2330817,1714752,138688,100397,3.2640818524,53.8862031010,39.6433845042,3.2063305423,1779702,36120,1395897,275618,41337,30730,2.0652131652,79.8124269571,15.7588572030,2.3635026747,2646138,105066,934920,1439134,97351,69667,4.0779034579,36.2868435158,55.8567901599,3.7784628665
55,"01","00001","b","nen5F.0015","1","Å@85Å`89çŒ",2749324,85502,999883,1521771,69537,72631,3.1943147757,37.3551617612,56.8526536289,2.5978698342,932310,12735,653836,237086,13122,15531,1.3891024991,71.3188238387,25.8607581544,1.4313155079,1817014,72767,346047,1284685,56415,57100,4.1346906724,19.6627221557,72.9970328096,3.2055543623
56,"01","00001","b","nen5F.0016","1","Å@90Å`94çŒ",1183214,30929,228593,852807,26303,44582,2.7163297712,20.0761088745,74.8975085893,2.3100527651,292810,2577,163944,116436,2911,6942,0.9014650118,57.3495459443,40.7306868905,1.0183021534,890404,28352,64649,736371,23392,37640,3.3247182104,7.5811127111,86.3510889296,2.7430801488
57,"01","00001","b","nen5F.0017","1","Å@95Å`99çŒ",314841,6664,29052,259490,5601,14034,2.2153739773,9.6580199264,86.2646148527,1.8619912436,55450,468,22063,30731,466,1722,0.8710541989,41.0642495533,57.1973645027,0.8673317451,259391,6196,6989,228759,5135,12312,2.5076999664,2.8286499460,92.5853674331,2.0782826545
58,"01","00001","b","nen5F.0018","1","Å@100çŒà»è„",54031,1175,2551,46759,797,2749,2.2912522913,4.9744549745,91.1801411801,1.5541515542,7351,114,1750,5118,81,288,1.6140450234,24.7770069376,72.4621265751,1.1468214640,46680,1061,801,41641,716,2461,2.3994210633,1.8114385219,94.1699269545,1.6192134603
59,"01","00001","b","nenH.0001","1","Å@ïΩãœîNóÓ",51.7341383586,33.6240064173,56.0141115914,78.9944466332,56.4701007299,47.6339701932,-,-,-,-,50.2747179811,34.2166043782,57.2254659435,77.2264894271,56.7707506811,44.7804784475,-,-,-,-,53.0919137446,32.8825187803,54.8094558536,79.3646257221,56.2914554174,51.4801740420,-,-,-,-
60,"01","00001","b","nen653.0001","1","Å@ÅiçƒåfÅj65çŒà»è„",30085064,1432823,18819819,7667500,1539937,624985,4.8636088179,63.8824458006,26.0267462283,5.2271991531,13029767,690441,10228244,1281686,575051,254345,5.4044476965,80.0618875838,10.0324357191,4.5012290005,17055297,742382,8591575,6385814,964886,370640,4.4494891324,51.4938664906,38.2735707423,5.7830736347
61,"01","00001","b","nen653.0002","2","Å@Å@ÅiçƒåfÅj75çŒà»è„",14382061,468885,7269690,5811661,487306,344519,3.3402215288,51.7874853019,41.4008449627,3.4714482065,5579275,131854,4287428,910529,149414,100050,2.4064352167,78.2488034348,16.6178428519,2.7269184967,8802786,337031,2982262,4901132,337892,244469,3.9380523063,34.8463605636,57.2674744345,3.9481126955
62,"01","00001","b","nen653.0003","3","Å@Å@Å@ÅiçƒåfÅj85çŒà»è„",4301410,124270,1260079,2680827,102238,133996,2.9819451583,30.2364727862,64.3283100743,2.4532719811,1287921,15894,841593,389371,16580,24483,1.2579960394,66.6113414350,30.8183701931,1.3122923325,3013489,108376,418486,2291456,85658,109513,3.7319867657,14.4107940286,78.9075391808,2.9496800249
63,"","","","","","00 ëSçë åSïî",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"01","00002","b","nen5F.0000","0","ëçêîÅi15çŒà»è„îNóÓÅj",9559061,2247049,5711479,1067893,484921,47719,23.6249416749,60.0491392277,11.2275744054,5.0983446921,4589763,1320122,2858124,182362,203838,25317,28.9218450607,62.6171062162,3.9952712772,4.4657774459,4969298,926927,2853355,885531,281083,22402,18.7375477471,57.6797046067,17.9007401813,5.6820074649
65,"01","00002","b","nen5F.0001","1","Å@15Å`19çŒ",496151,492906,2042,34,172,997,99.5459998304,0.4123969513,0.0068665506,0.0347366678,256109,254648,786,18,50,607,99.6657560410,0.3076296859,0.0070449546,0.0195693184,240042,238258,1256,16,122,390,99.4183232354,0.5240932686,0.0066763474,0.0509071487
66,"01","00002","b","nen5F.0002","1","Å@20Å`24çŒ",411065,372506,32842,124,2585,3008,91.2877367623,8.0483853971,0.0303879115,0.6334899291,212096,196558,12921,33,688,1896,93.5099904853,6.1470028544,0.0156993340,0.3273073264,198969,175948,19921,91,1897,1112,88.9268512107,10.0683827209,0.0459928130,0.9587732554
67,"01","00002","b","nen5F.0003","1","Å@25Å`29çŒ",461991,298223,149502,210,10597,3459,65.0386450673,32.6044856193,0.0457983303,2.3110709831,239632,170054,64139,47,3120,2272,71.6439164139,27.0218233906,0.0198011459,1.3144590495,222359,128169,85363,163,7477,1187,57.9499213282,38.5957535312,0.0736982982,3.3806268425
68,"01","00002","b","nen5F.0004","1","Å@30Å`34çŒ",541940,216865,297927,605,23289,3254,40.2581466754,55.3062451966,0.1123103255,4.3232978024,277555,131605,135876,142,7751,2181,47.7913673767,49.3423489509,0.0515662336,2.8147174388,264385,85260,162051,463,15538,1073,32.3798383667,61.5433402200,0.1758370298,5.9009843835
69,"01","00002","b","nen5F.0005","1","Å@35Å`39çŒ",634143,182955,409323,1546,37082,3237,28.9987731928,64.8786031517,0.2450444282,5.8775792273,324826,115874,193166,405,13230,2151,35.9104361974,59.8639497947,0.1255132874,4.1001007205,309317,67081,216157,1141,23852,1086,21.7632230373,70.1282479699,0.3701769128,7.7383520801
70,"01","00002","b","nen5F.0006","1","Å@40Å`44çŒ",730046,172262,495847,3576,54785,3576,23.7121973378,68.2542981816,0.4922433136,7.5412611670,373056,112002,237095,898,20630,2431,30.2197639123,63.9716694772,0.2422934233,5.5662731872,356990,60260,258752,2678,34155,1145,16.9343393893,72.7148056036,0.7525748570,9.5982801501
71,"01","00002","b","nen5F.0007","1","Å@45Å`49çŒ",654541,128539,460031,6424,56468,3079,19.7308515309,70.6151701864,0.9860897489,8.6678885338,328652,85412,216539,1507,23164,2030,26.1501062390,66.2965140131,0.4613896186,7.0919901293,325889,43127,243492,4917,33304,1049,13.2763822189,74.9575175471,1.5136682675,10.2524319665
